group	auc	aupr
Firmicutes	0.966	0.936
Firmicutes	0.967	0.941
Firmicutes	0.973	0.949
Firmicutes	0.965	0.942
Firmicutes	0.965	0.932
Firmicutes	0.964	0.941
Firmicutes	0.97	0.94
Firmicutes	0.962	0.941
Firmicutes	0.965	0.936
Firmicutes	0.966	0.941
Firmicutes	0.962	0.93
Firmicutes	0.97	0.954
Firmicutes	0.965	0.942
Firmicutes	0.964	0.936
Firmicutes	0.971	0.948
Firmicutes	0.968	0.94
Firmicutes	0.966	0.941
Firmicutes	0.972	0.949
Firmicutes	0.972	0.95
Firmicutes	0.965	0.927
