group	auc	aupr
Firmicutes	0.968	0.945
Firmicutes	0.965	0.938
Firmicutes	0.965	0.932
Firmicutes	0.961	0.935
Firmicutes	0.967	0.948
Firmicutes	0.955	0.914
Firmicutes	0.959	0.93
Firmicutes	0.97	0.945
Firmicutes	0.965	0.944
Firmicutes	0.96	0.929
Firmicutes	0.965	0.942
Firmicutes	0.964	0.932
Firmicutes	0.963	0.922
Firmicutes	0.972	0.952
Firmicutes	0.966	0.928
Firmicutes	0.967	0.946
Firmicutes	0.965	0.941
Firmicutes	0.962	0.925
Firmicutes	0.963	0.94
Firmicutes	0.963	0.929
