Gut Microbiota	DOID
Coprobacter fastidiosus	Liver Cirrhosis
Megamonas funiformis	Liver Cirrhosis
Bacteroides faecis	Liver Cirrhosis
Megamonas rupellensis	Liver Cirrhosis
Parabacteroides johnsonii	Liver Cirrhosis
Parabacteroides goldsteinii	Liver Cirrhosis
Blautia obeum	Liver Cirrhosis
Bacteroides clarus	Liver Cirrhosis
Ruminococcus sp.	Liver Cirrhosis
Lachnospiraceae bacterium 8_1_57FAA	Liver Cirrhosis
Coprococcus eutactus	Liver Cirrhosis
Dorea longicatena	Liver Cirrhosis
Burkholderiales bacterium 1_1_47	Liver Cirrhosis
Ruminococcus callidus	Liver Cirrhosis
Desulfovibrio piger	Liver Cirrhosis
Coprococcus catus	Liver Cirrhosis
Parasutterella excrementihominis	Liver Cirrhosis
Lachnospiraceae bacterium 3_1_46FAA	Liver Cirrhosis
Intestinibacter bartlettii	Liver Cirrhosis
Lachnospiraceae bacterium 5_1_63FAA	Liver Cirrhosis
Paraprevotella xylaniphila	Liver Cirrhosis
Dorea formicigenerans	Liver Cirrhosis
Alistipes senegalensis	Liver Cirrhosis
Bilophila wadsworthia	Liver Cirrhosis
Eubacterium ramulus	Liver Cirrhosis
Collinsella aerofaciens	Liver Cirrhosis
Lachnospiraceae bacterium 7_1_58FAA	Liver Cirrhosis
Streptococcus lutetiensis	Liver Cirrhosis
Erysipelotrichaceae bacterium 6_1_45	Liver Cirrhosis
Haemophilus sputorum	Liver Cirrhosis
Clostridiales bacterium 1_7_47FAA	Liver Cirrhosis
Klebsiella oxytoca	Liver Cirrhosis
Clostridiaceae bacterium JC118	Liver Cirrhosis
Prevotella melaninogenica	Liver Cirrhosis
Haemophilus parahaemolyticus	Liver Cirrhosis
Streptococcus mitis	Liver Cirrhosis
Fusobacterium periodonticum	Liver Cirrhosis
Dialister invisus	Liver Cirrhosis
Lactobacillus gasseri	Liver Cirrhosis
Prevotella denticola	Liver Cirrhosis
Aggregatibacter segnis	Liver Cirrhosis
Clostridium symbiosum	Liver Cirrhosis
Alistipes finegoldii	Liver Cirrhosis
Fusobacterium ulcerans	Liver Cirrhosis
Bifidobacterium dentium	Liver Cirrhosis
Lactobacillus fermentum	Liver Cirrhosis
Erysipelatoclostridium ramosum	Liver Cirrhosis
Clostridioides difficile	Liver Cirrhosis
Fusobacterium nucleatum	Liver Cirrhosis
Veillonella sp. 	Liver Cirrhosis
Streptococcus infantarius	Liver Cirrhosis
Megasphaera micronuciformis	Liver Cirrhosis
Streptococcus vestibularis	Liver Cirrhosis
Streptococcus anginosus	Liver Cirrhosis
Lactobacillus mucosae	Liver Cirrhosis
Enterobacter cloacae	Liver Cirrhosis
Lachnospiraceae bacterium 2_1_58FAA	Liver Cirrhosis
Clostridium perfringens	Liver Cirrhosis
Parabacteroides merdae	Liver Cirrhosis
Prevotella buccae	Liver Cirrhosis
Tyzzerella nexilis	Liver Cirrhosis
Clostridium bolteae	Liver Cirrhosis
Hungatella hathewayi	Liver Cirrhosis
Veillonella dispar	Liver Cirrhosis
Veillonella atypica	Liver Cirrhosis
Streptococcus parasanguinis	Liver Cirrhosis
Ruminococcus gnavus	Liver Cirrhosis
Klebsiella pneumoniae	Liver Cirrhosis
Lactobacillus salivarius	Liver Cirrhosis
Veillonella parvula	Liver Cirrhosis
Bacteroides thetaiotaomicron	Liver Cirrhosis
Haemophilus parainfluenzae	Liver Cirrhosis
Streptococcus salivarius	Liver Cirrhosis
Faecalibacterium prausnitzii	Systemic Scleroderma
Prevotella copri	Systemic Scleroderma
Eubacterium rectale	Systemic Scleroderma
Alistipes putredinis	Systemic Scleroderma
Bacteroides stercoris	Systemic Scleroderma
Coprococcus sp.	Systemic Scleroderma
Bifidobacterium adolescentis	Systemic Scleroderma
Barnesiella intestinihominis	Systemic Scleroderma
Bacteroides dorei	Systemic Scleroderma
Alistipes onderdonkii	Systemic Scleroderma
Eubacterium eligens	Systemic Scleroderma
Alistipes obesi	Systemic Scleroderma
Butyrivibrio crossotus	Systemic Scleroderma
Bacteroides massiliensis	Systemic Scleroderma
Alistipes shahii	Systemic Scleroderma
Roseburia inulinivorans	Systemic Scleroderma
Odoribacter splanchnicus	Systemic Scleroderma
Parabacteroides distasonis	Systemic Scleroderma
Methanobrevibacter smithii	Systemic Scleroderma
Bifidobacterium pseudocatenulatum	Systemic Scleroderma
Holdemanella biformis	Systemic Scleroderma
Bacteroides coprocola	Systemic Scleroderma
Sutterella wadsworthensis	Systemic Scleroderma
Ruminococcus callidus	Systemic Scleroderma
Ruminococcus lactaris	Systemic Scleroderma
Roseburia hominis	Systemic Scleroderma
Candidatus Alistipes marseilloanorexicus AP11	Systemic Scleroderma
Bifidobacterium breve	Systemic Scleroderma
Coprococcus eutactus	Systemic Scleroderma
Eubacterium ventriosum	Systemic Scleroderma
Dorea formicigenerans	Systemic Scleroderma
Alistipes indistinctus	Systemic Scleroderma
Lachnospiraceae bacterium 8_1_57FAA	Systemic Scleroderma
Paraprevotella clara	Systemic Scleroderma
Methanobrevibacter sp.	Systemic Scleroderma
Alistipes senegalensis	Systemic Scleroderma
Lactobacillus ruminis	Systemic Scleroderma
Paraprevotella xylaniphila	Systemic Scleroderma
Oxalobacter formigenes	Systemic Scleroderma
Coprobacter fastidiosus	Systemic Scleroderma
Clostridium citroniae	Systemic Scleroderma
Clostridium scindens	Systemic Scleroderma
Gordonibacter pamelaeae	Systemic Scleroderma
Erysipelotrichaceae bacterium 21_3	Systemic Scleroderma
Eggerthella lenta	Systemic Scleroderma
Erysipelotrichaceae bacterium 2_2_44A	Systemic Scleroderma
Clostridium perfringens	Systemic Scleroderma
Lactobacillus vaginalis	Systemic Scleroderma
Klebsiella oxytoca	Systemic Scleroderma
Anaerotruncus colihominis	Systemic Scleroderma
Flavonifractor plautii	Systemic Scleroderma
Streptococcus australis	Systemic Scleroderma
Bifidobacterium dentium	Systemic Scleroderma
Lachnospiraceae bacterium 6_1_63FAA	Systemic Scleroderma
Lactococcus lactis	Systemic Scleroderma
Clostridiales bacterium 1_7_47FAA	Systemic Scleroderma
Erysipelotrichaceae bacterium 6_1_45	Systemic Scleroderma
Erysipelotrichaceae bacterium 3_1_53	Systemic Scleroderma
Coprococcus catus	Systemic Scleroderma
Erysipelatoclostridium ramosum	Systemic Scleroderma
Intestinibacter bartlettii	Systemic Scleroderma
Clostridium asparagiforme	Systemic Scleroderma
Streptococcus anginosus	Systemic Scleroderma
Streptococcus mutans	Systemic Scleroderma
Lachnospiraceae bacterium 1_4_56FAA	Systemic Scleroderma
Lachnospiraceae bacterium 3_1_57FAA_CT1	Systemic Scleroderma
Lactobacillus gasseri	Systemic Scleroderma
Subdoligranulum sp.	Systemic Scleroderma
Anaerostipes caccae	Systemic Scleroderma
Lachnospiraceae bacterium 5_1_57FAA	Systemic Scleroderma
Hungatella hathewayi	Systemic Scleroderma
Blautia producta	Systemic Scleroderma
Lactobacillus johnsonii	Systemic Scleroderma
Lactobacillus fermentum	Systemic Scleroderma
Tyzzerella nexilis	Systemic Scleroderma
Clostridium symbiosum	Systemic Scleroderma
Eubacterium sp.	Systemic Scleroderma
Clostridium leptum	Systemic Scleroderma
Lachnospiraceae bacterium 2_1_58FAA	Systemic Scleroderma
Clostridium sp.	Systemic Scleroderma
Streptococcus vestibularis	Systemic Scleroderma
Escherichia coli	Systemic Scleroderma
Clostridium clostridioforme	Systemic Scleroderma
Streptococcus lutetiensis	Systemic Scleroderma
Lactobacillus salivarius	Systemic Scleroderma
Clostridium bolteae	Systemic Scleroderma
Enterobacter cloacae	Systemic Scleroderma
Streptococcus parasanguinis	Systemic Scleroderma
Klebsiella pneumoniae	Systemic Scleroderma
Ruminococcus gnavus	Systemic Scleroderma
Lactobacillus reuteri	Systemic Scleroderma
Streptococcus salivarius	Systemic Scleroderma
Ruminococcus sp.	Systemic Scleroderma
Ruminococcus torques	Systemic Scleroderma
Eubacterium eligens	Ankylosing Spondylitis
Bacteroides vulgatus	Ankylosing Spondylitis
Prevotella stercorea	Ankylosing Spondylitis
Bacteroides eggerthii	Ankylosing Spondylitis
Roseburia inulinivorans	Ankylosing Spondylitis
Alistipes putredinis	Ankylosing Spondylitis
Bacteroides fragilis	Ankylosing Spondylitis
Bacteroides uniformis	Ankylosing Spondylitis
Bacteroides finegoldii	Ankylosing Spondylitis
Bacteroides thetaiotaomicron	Ankylosing Spondylitis
Fusobacterium mortiferum	Ankylosing Spondylitis
Butyrivibrio crossotus	Ankylosing Spondylitis
Bacteroides xylanisolvens	Ankylosing Spondylitis
Akkermansia muciniphila	Ankylosing Spondylitis
Parabacteroides distasonis	Ankylosing Spondylitis
Lachnospiraceae bacterium 1_1_57FAA	Ankylosing Spondylitis
Bacteroides intestinalis	Ankylosing Spondylitis
Odoribacter splanchnicus	Ankylosing Spondylitis
Bacteroides salyersiae	Ankylosing Spondylitis
Bacteroides cellulosilyticus	Ankylosing Spondylitis
Bifidobacterium adolescentis	Ankylosing Spondylitis
Roseburia hominis	Ankylosing Spondylitis
Eubacterium ventriosum	Ankylosing Spondylitis
Alistipes shahii	Ankylosing Spondylitis
Collinsella aerofaciens	Ankylosing Spondylitis
Klebsiella pneumoniae	Ankylosing Spondylitis
Ruminococcus torques	Ankylosing Spondylitis
Coprococcus sp.	Ankylosing Spondylitis
Alistipes indistinctus	Ankylosing Spondylitis
Parabacteroides johnsonii	Ankylosing Spondylitis
Alistipes finegoldii	Ankylosing Spondylitis
Intestinibacter bartlettii	Ankylosing Spondylitis
Bacteroides faecis	Ankylosing Spondylitis
Coprococcus eutactus	Ankylosing Spondylitis
Parabacteroides goldsteinii	Ankylosing Spondylitis
Streptococcus salivarius	Ankylosing Spondylitis
Streptococcus parasanguinis	Ankylosing Spondylitis
Alistipes senegalensis	Ankylosing Spondylitis
Dorea longicatena	Ankylosing Spondylitis
Catenibacterium mitsuokai	Ankylosing Spondylitis
Veillonella atypica	Ankylosing Spondylitis
Pyramidobacter piscolens	Ankylosing Spondylitis
Bacteroides nordii	Ankylosing Spondylitis
Streptococcus thermophilus	Ankylosing Spondylitis
Enterobacter cloacae	Ankylosing Spondylitis
Clostridium leptum	Ankylosing Spondylitis
Oxalobacter formigenes	Ankylosing Spondylitis
Rothia mucilaginosa	Ankylosing Spondylitis
Lachnospiraceae bacterium 7_1_58FAA	Ankylosing Spondylitis
Bifidobacterium breve	Ankylosing Spondylitis
Lachnospiraceae bacterium 2_1_46FAA	Ankylosing Spondylitis
Clostridiaceae bacterium JC118	Ankylosing Spondylitis
Ruminococcaceae bacterium D16	Ankylosing Spondylitis
Anaerotruncus colihominis	Ankylosing Spondylitis
Flavonifractor plautii	Ankylosing Spondylitis
Holdemania filiformis	Ankylosing Spondylitis
Pseudomonas sp.	Ankylosing Spondylitis
Lachnospiraceae bacterium 2_1_58FAA	Ankylosing Spondylitis
Anaerostipes hadrus	Ankylosing Spondylitis
Clostridium symbiosum	Ankylosing Spondylitis
Hungatella hathewayi	Ankylosing Spondylitis
Clostridium citroniae	Ankylosing Spondylitis
Clostridium asparagiforme	Ankylosing Spondylitis
Streptococcus pasteurianus	Ankylosing Spondylitis
Lactobacillus mucosae	Ankylosing Spondylitis
Dialister succinatiphilus	Ankylosing Spondylitis
Phascolarctobacterium succinatutens	Ankylosing Spondylitis
Enterococcus faecium	Ankylosing Spondylitis
Clostridium bolteae	Ankylosing Spondylitis
Sutterella parvirubra	Ankylosing Spondylitis
Ruminococcus gnavus	Ankylosing Spondylitis
Sutterella wadsworthensis	Ankylosing Spondylitis
Bifidobacterium bifidum	Ankylosing Spondylitis
Megamonas rupellensis	Ankylosing Spondylitis
Ruminococcus sp.	Ankylosing Spondylitis
Bifidobacterium pseudocatenulatum	Ankylosing Spondylitis
Bifidobacterium longum	Ankylosing Spondylitis
Bacteroides dorei	Ankylosing Spondylitis
Bacteroides coprocola	Ankylosing Spondylitis
Bacteroides massiliensis	Ankylosing Spondylitis
Prevotella copri	Ankylosing Spondylitis
Faecalibacterium prausnitzii	Ankylosing Spondylitis
Prevotella copri	Cardiovascular Diseases
Bacteroides vulgatus	Cardiovascular Diseases
Eubacterium eligens	Cardiovascular Diseases
Bacteroides stercoris	Cardiovascular Diseases
Bacteroides massiliensis	Cardiovascular Diseases
Bacteroides uniformis	Cardiovascular Diseases
Prevotella stercorea	Cardiovascular Diseases
Roseburia inulinivorans	Cardiovascular Diseases
Roseburia intestinalis	Cardiovascular Diseases
Bacteroides thetaiotaomicron	Cardiovascular Diseases
Bacteroides intestinalis	Cardiovascular Diseases
Roseburia hominis	Cardiovascular Diseases
Alistipes shahii	Cardiovascular Diseases
Bifidobacterium pseudocatenulatum	Cardiovascular Diseases
Bacteroides xylanisolvens	Cardiovascular Diseases
Bacteroides cellulosilyticus	Cardiovascular Diseases
Alistipes obesi	Cardiovascular Diseases
Clostridium perfringens	Cardiovascular Diseases
Lachnospiraceae bacterium 5_1_63FAA	Cardiovascular Diseases
Oxalobacter formigenes	Cardiovascular Diseases
Parasutterella excrementihominis	Cardiovascular Diseases
Blautia producta	Cardiovascular Diseases
Desulfovibrio piger	Cardiovascular Diseases
Anaerostipes hadrus	Cardiovascular Diseases
Bilophila wadsworthia	Cardiovascular Diseases
Streptococcus thermophilus	Cardiovascular Diseases
Prevotella bivia	Cardiovascular Diseases
Streptococcus cristatus	Cardiovascular Diseases
Fusobacterium nucleatum	Cardiovascular Diseases
Erysipelotrichaceae bacterium 21_3	Cardiovascular Diseases
Clostridioides difficile	Cardiovascular Diseases
Solobacterium moorei	Cardiovascular Diseases
Lachnospiraceae bacterium 6_1_63FAA	Cardiovascular Diseases
Granulicatella adiacens	Cardiovascular Diseases
Veillonella dispar	Cardiovascular Diseases
Streptococcus gordonii	Cardiovascular Diseases
Eggerthella lenta	Cardiovascular Diseases
Enterococcus faecium	Cardiovascular Diseases
Erysipelatoclostridium ramosum	Cardiovascular Diseases
Eubacterium limosum	Cardiovascular Diseases
Lactobacillus delbrueckii	Cardiovascular Diseases
Gemella sanguinis	Cardiovascular Diseases
Ruminococcus sp.	Cardiovascular Diseases
Streptococcus mitis	Cardiovascular Diseases
Holdemania massiliensis AP2	Cardiovascular Diseases
Lactobacillus johnsonii	Cardiovascular Diseases
Lachnospiraceae bacterium 5_1_57FAA	Cardiovascular Diseases
Streptococcus infantis	Cardiovascular Diseases
Weissella confusa	Cardiovascular Diseases
Rothia mucilaginosa	Cardiovascular Diseases
Lactobacillus fermentum	Cardiovascular Diseases
Veillonella atypica	Cardiovascular Diseases
Lactobacillus gasseri	Cardiovascular Diseases
Eubacterium sp.	Cardiovascular Diseases
Fusobacterium varium	Cardiovascular Diseases
Erysipelotrichaceae bacterium 3_1_53	Cardiovascular Diseases
Enterococcus faecalis	Cardiovascular Diseases
Streptococcus infantarius	Cardiovascular Diseases
Clostridium clostridioforme	Cardiovascular Diseases
Lactobacillus vaginalis	Cardiovascular Diseases
Enterobacter cloacae	Cardiovascular Diseases
Streptococcus sanguinis	Cardiovascular Diseases
Lachnospiraceae bacterium 3_1_57FAA_CT1	Cardiovascular Diseases
Megasphaera micronuciformis	Cardiovascular Diseases
Coprobacillus cateniformis	Cardiovascular Diseases
Bifidobacterium dentium	Cardiovascular Diseases
Methanobrevibacter smithii	Cardiovascular Diseases
Lactobacillus mucosae	Cardiovascular Diseases
Streptococcus vestibularis	Cardiovascular Diseases
Veillonella parvula	Cardiovascular Diseases
Lactobacillus amylovorus	Cardiovascular Diseases
Hungatella hathewayi	Cardiovascular Diseases
Subdoligranulum sp.	Cardiovascular Diseases
Lactobacillus crispatus	Cardiovascular Diseases
Streptococcus anginosus	Cardiovascular Diseases
Lachnospiraceae bacterium 2_1_46FAA	Cardiovascular Diseases
Lachnospiraceae bacterium 2_1_58FAA	Cardiovascular Diseases
Dialister invisus	Cardiovascular Diseases
Bacteroides fragilis	Cardiovascular Diseases
Enterobacter aerogenes	Cardiovascular Diseases
Clostridium bolteae	Cardiovascular Diseases
Tyzzerella nexilis	Cardiovascular Diseases
Lactobacillus salivarius	Cardiovascular Diseases
Streptococcus parasanguinis	Cardiovascular Diseases
Akkermansia muciniphila	Cardiovascular Diseases
Ruminococcus torques	Cardiovascular Diseases
Ruminococcus gnavus	Cardiovascular Diseases
Klebsiella pneumoniae	Cardiovascular Diseases
Streptococcus salivarius	Cardiovascular Diseases
Escherichia coli	Cardiovascular Diseases
Prevotella copri	Obesity
Butyrivibrio crossotus	Obesity
Alistipes putredinis	Obesity
Faecalibacterium prausnitzii	Obesity
Bacteroides uniformis	Obesity
Eubacterium eligens	Obesity
Bacteroides ovatus	Obesity
Bacteroides massiliensis	Obesity
Akkermansia muciniphila	Obesity
Bacteroides eggerthii	Obesity
Clostridium sp.	Obesity
Parabacteroides merdae	Obesity
Barnesiella intestinihominis	Obesity
Roseburia intestinalis	Obesity
Alistipes shahii	Obesity
Odoribacter splanchnicus	Obesity
Bacteroides thetaiotaomicron	Obesity
Coprococcus sp. 	Obesity
Phascolarctobacterium succinatutens	Obesity
Ruminococcus torques	Obesity
Eubacterium siraeum	Obesity
Bacteroides cellulosilyticus	Obesity
Alistipes onderdonkii	Obesity
Roseburia hominis	Obesity
Bacteroides intestinalis	Obesity
Alistipes obesi	Obesity
Haemophilus parainfluenzae	Obesity
Alistipes finegoldii	Obesity
Alistipes indistinctus	Obesity
Klebsiella pneumoniae	Obesity
Coprobacter fastidiosus	Obesity
Bacteroides faecis	Obesity
Candidatus Alistipes marseilloanorexicus AP11	Obesity
Ruminococcus callidus	Obesity
Bacteroides oleiciplenus	Obesity
Klebsiella oxytoca	Obesity
Alistipes senegalensis	Obesity
Bifidobacterium bifidum	Obesity
Clostridium symbiosum	Obesity
Oxalobacter formigenes	Obesity
Raoultella ornithinolytica	Obesity
Citrobacter freundii	Obesity
Lachnospiraceae bacterium 3_1_57FAA_CT1	Obesity
Bacteroides nordii	Obesity
Clostridiales bacterium 1_7_47FAA	Obesity
Clostridium asparagiforme	Obesity
Desulfovibrio desulfuricans	Obesity
Anaerotruncus colihominis	Obesity
Eubacterium dolichum	Obesity
Fusobacterium varium	Obesity
Lachnospiraceae bacterium 9_1_43BFAA	Obesity
Streptococcus parasanguinis	Obesity
Lachnospiraceae bacterium 5_1_63FAA	Obesity
Lachnospiraceae bacterium 1_4_56FAA	Obesity
Collinsella tanakaei	Obesity
Lachnospiraceae bacterium 2_1_46FAA	Obesity
Dorea formicigenerans	Obesity
Megasphaera elsdenii	Obesity
Eubacterium ramulus	Obesity
Lachnospiraceae bacterium 2_1_58FAA	Obesity
Streptococcus salivarius	Obesity
Fusobacterium ulcerans	Obesity
Collinsella intestinalis	Obesity
Bifidobacterium pseudocatenulatum	Obesity
Dorea longicatena	Obesity
Blautia obeum	Obesity
Eubacterium hallii	Obesity
Bacteroides fragilis	Obesity
Collinsella aerofaciens	Obesity
Coprococcus comes	Obesity
Fusobacterium mortiferum	Obesity
Ruminococcus sp.	Obesity
Ruminococcus bromii	Obesity
Ruminococcus gnavus	Obesity
Prevotella copri	Immunoglobulin G4-Related Disease
Alistipes putredinis	Immunoglobulin G4-Related Disease
Bacteroides uniformis	Immunoglobulin G4-Related Disease
Faecalibacterium prausnitzii	Immunoglobulin G4-Related Disease
Akkermansia muciniphila	Immunoglobulin G4-Related Disease
Bacteroides stercoris	Immunoglobulin G4-Related Disease
Coprococcus sp.	Immunoglobulin G4-Related Disease
Bacteroides cellulosilyticus	Immunoglobulin G4-Related Disease
Alistipes onderdonkii	Immunoglobulin G4-Related Disease
Barnesiella intestinihominis	Immunoglobulin G4-Related Disease
Parabacteroides merdae	Immunoglobulin G4-Related Disease
Bacteroides caccae	Immunoglobulin G4-Related Disease
Bacteroides ovatus	Immunoglobulin G4-Related Disease
Alistipes obesi	Immunoglobulin G4-Related Disease
Eubacterium eligens	Immunoglobulin G4-Related Disease
Parabacteroides distasonis	Immunoglobulin G4-Related Disease
Alistipes shahii	Immunoglobulin G4-Related Disease
Odoribacter splanchnicus	Immunoglobulin G4-Related Disease
Ruminococcus callidus	Immunoglobulin G4-Related Disease
Roseburia hominis	Immunoglobulin G4-Related Disease
Bacteroides coprocola	Immunoglobulin G4-Related Disease
Candidatus Alistipes marseilloanorexicus AP11	Immunoglobulin G4-Related Disease
Methanobrevibacter sp.	Immunoglobulin G4-Related Disease
Bacteroides xylanisolvens	Immunoglobulin G4-Related Disease
Eubacterium ventriosum	Immunoglobulin G4-Related Disease
Alistipes indistinctus	Immunoglobulin G4-Related Disease
Alistipes senegalensis	Immunoglobulin G4-Related Disease
Lachnospiraceae bacterium 7_1_58FAA	Immunoglobulin G4-Related Disease
Oxalobacter formigenes	Immunoglobulin G4-Related Disease
Coprobacter fastidiosus	Immunoglobulin G4-Related Disease
Bilophila wadsworthia	Immunoglobulin G4-Related Disease
Clostridiales bacterium 1_7_47FAA	Immunoglobulin G4-Related Disease
Anaerotruncus colihominis	Immunoglobulin G4-Related Disease
Lachnospiraceae bacterium 2_1_58FAA	Immunoglobulin G4-Related Disease
Streptococcus anginosus	Immunoglobulin G4-Related Disease
Eggerthella lenta	Immunoglobulin G4-Related Disease
Veillonella dispar	Immunoglobulin G4-Related Disease
Hungatella hathewayi	Immunoglobulin G4-Related Disease
Ruminococcaceae bacterium D16	Immunoglobulin G4-Related Disease
Clostridium asparagiforme	Immunoglobulin G4-Related Disease
Eggerthella sp.	Immunoglobulin G4-Related Disease
Intestinibacter bartlettii	Immunoglobulin G4-Related Disease
Anaerostipes caccae	Immunoglobulin G4-Related Disease
Veillonella atypica	Immunoglobulin G4-Related Disease
Clostridium symbiosum	Immunoglobulin G4-Related Disease
Coprococcus catus	Immunoglobulin G4-Related Disease
Subdoligranulum sp.	Immunoglobulin G4-Related Disease
Eubacterium sp.	Immunoglobulin G4-Related Disease
Citrobacter freundii	Immunoglobulin G4-Related Disease
Lactobacillus oris	Immunoglobulin G4-Related Disease
Blautia producta	Immunoglobulin G4-Related Disease
Lactobacillus gasseri	Immunoglobulin G4-Related Disease
Lachnospiraceae bacterium 5_1_57FAA	Immunoglobulin G4-Related Disease
Veillonella parvula	Immunoglobulin G4-Related Disease
Clostridium bolteae	Immunoglobulin G4-Related Disease
Prevotella buccae	Immunoglobulin G4-Related Disease
Klebsiella oxytoca	Immunoglobulin G4-Related Disease
Lactobacillus salivarius	Immunoglobulin G4-Related Disease
Bifidobacterium dentium	Immunoglobulin G4-Related Disease
Lactobacillus vaginalis	Immunoglobulin G4-Related Disease
Eubacterium ramulus	Immunoglobulin G4-Related Disease
Bifidobacterium animalis	Immunoglobulin G4-Related Disease
Lactobacillus fermentum	Immunoglobulin G4-Related Disease
Holdemanella biformis	Immunoglobulin G4-Related Disease
Tyzzerella nexilis	Immunoglobulin G4-Related Disease
Clostridium perfringens	Immunoglobulin G4-Related Disease
Lachnospiraceae bacterium 3_1_46FAA	Immunoglobulin G4-Related Disease
Clostridium clostridioforme	Immunoglobulin G4-Related Disease
Streptococcus mutans	Immunoglobulin G4-Related Disease
Streptococcus parasanguinis	Immunoglobulin G4-Related Disease
Ruminococcus gnavus	Immunoglobulin G4-Related Disease
Ruminococcus torques	Immunoglobulin G4-Related Disease
Streptococcus salivarius	Immunoglobulin G4-Related Disease
Klebsiella pneumoniae	Immunoglobulin G4-Related Disease
Eubacterium rectale	Tuberculosis
Roseburia intestinalis	Tuberculosis
Coprococcus sp.	Tuberculosis
Roseburia inulinivorans	Tuberculosis
Eubacterium eligens	Tuberculosis
Klebsiella pneumoniae	Tuberculosis
Alistipes putredinis	Tuberculosis
Ruminococcus bromii	Tuberculosis
Sutterella wadsworthensis	Tuberculosis
Eubacterium siraeum	Tuberculosis
Haemophilus parainfluenzae	Tuberculosis
Enterobacter cloacae	Tuberculosis
Clostridium sp.	Tuberculosis
Megamonas hypermegale	Tuberculosis
Megamonas rupellensis	Tuberculosis
Odoribacter splanchnicus	Tuberculosis
Lachnospiraceae bacterium 3_1_46FAA	Tuberculosis
Coprococcus comes	Tuberculosis
Lachnospiraceae bacterium 1_1_57FAA	Tuberculosis
Collinsella aerofaciens	Tuberculosis
Roseburia hominis	Tuberculosis
Ruminococcus lactaris	Tuberculosis
Akkermansia muciniphila	Tuberculosis
Alistipes shahii	Tuberculosis
Megamonas funiformis	Tuberculosis
Alistipes obesi	Tuberculosis
Klebsiella sp.	Tuberculosis
Clostridium leptum	Tuberculosis
Bacteroides intestinalis	Tuberculosis
Paraprevotella xylaniphila	Tuberculosis
Blautia obeum	Tuberculosis
Streptococcus salivarius	Tuberculosis
Bifidobacterium bifidum	Tuberculosis
Dorea formicigenerans	Tuberculosis
Paraprevotella clara	Tuberculosis
Dorea longicatena	Tuberculosis
Megasphaera elsdenii	Tuberculosis
Coprococcus catus	Tuberculosis
Ruminococcus sp.	Tuberculosis
Weissella confusa	Tuberculosis
Citrobacter freundii	Tuberculosis
Alistipes indistinctus	Tuberculosis
Eubacterium ramulus	Tuberculosis
Rothia mucilaginosa	Tuberculosis
Veillonella dispar	Tuberculosis
Alistipes senegalensis	Tuberculosis
Streptococcus australis	Tuberculosis
Erysipelotrichaceae bacterium 3_1_53	Tuberculosis
Eubacterium ventriosum	Tuberculosis
Bilophila wadsworthia	Tuberculosis
Erysipelatoclostridium ramosum	Tuberculosis
Lactobacillus fermentum	Tuberculosis
Veillonella parvula	Tuberculosis
Alistipes onderdonkii	Tuberculosis
Flavonifractor plautii	Tuberculosis
Ruminococcus callidus	Tuberculosis
Barnesiella intestinihominis	Tuberculosis
Lachnospiraceae bacterium 2_1_58FAA	Tuberculosis
Ruminococcus torques	Tuberculosis
Bifidobacterium pseudocatenulatum	Tuberculosis
Parabacteroides goldsteinii	Tuberculosis
Clostridium bolteae	Tuberculosis
Bifidobacterium adolescentis	Tuberculosis
Bifidobacterium longum	Tuberculosis
Ruminococcus gnavus	Tuberculosis
Klebsiella pneumoniae	Rheumatoid arthritis
Dialister succinatiphilus	Rheumatoid arthritis
Bifidobacterium bifidum	Rheumatoid arthritis
Lactobacillus salivarius	Rheumatoid arthritis
Sutterella wadsworthensis	Rheumatoid arthritis
Haemophilus parainfluenzae	Rheumatoid arthritis
Paraprevotella clara	Rheumatoid arthritis
Citrobacter freundii	Rheumatoid arthritis
Lactobacillus mucosae	Rheumatoid arthritis
Candidatus Alistipes marseilloanorexicus AP11	Rheumatoid arthritis
Lactobacillus ruminis	Rheumatoid arthritis
Burkholderiales bacterium 1_1_47	Rheumatoid arthritis
Lactobacillus crispatus	Rheumatoid arthritis
Parasutterella excrementihominis	Rheumatoid arthritis
Megamonas rupellensis	Rheumatoid arthritis
Streptococcus parasanguinis	Rheumatoid arthritis
Clostridium leptum	Rheumatoid arthritis
Lactobacillus reuteri	Rheumatoid arthritis
Lactobacillus gasseri	Rheumatoid arthritis
Butyrivibrio crossotus	Rheumatoid arthritis
Blautia hydrogenotrophica	Rheumatoid arthritis
Lachnospiraceae bacterium 7_1_58FAA	Rheumatoid arthritis
Paraprevotella xylaniphila	Rheumatoid arthritis
Lactobacillus curvatus	Rheumatoid arthritis
Clostridium asparagiforme	Rheumatoid arthritis
Lactobacillus sakei	Rheumatoid arthritis
Eggerthella lenta	Rheumatoid arthritis
Slackia piriformis	Rheumatoid arthritis
Eubacterium sp.	Rheumatoid arthritis
Bacteroides fluxus	Rheumatoid arthritis
Lachnospiraceae bacterium 1_4_56FAA	Rheumatoid arthritis
Holdemania filiformis	Rheumatoid arthritis
Veillonella parvula	Rheumatoid arthritis
Gordonibacter pamelaeae	Rheumatoid arthritis
Lachnospiraceae bacterium 2_1_58FAA	Rheumatoid arthritis
Collinsella aerofaciens	Rheumatoid arthritis
Bifidobacterium breve	Rheumatoid arthritis
Ruminococcus torques	Rheumatoid arthritis
Bacteroides finegoldii	Rheumatoid arthritis
