Gut Microbiota	DOID
Lactobacillus salivarius	Crohn's disease
Fusobacterium ulcerans	Crohn's disease
Veillonella atypica	Crohn's disease
Ruminococcus torques	Crohn's disease
Morganella morganii	Crohn's disease
Fusobacterium varium	Crohn's disease
Pediococcus acidilactici	Crohn's disease
Clostridium clostridioforme	Crohn's disease
Bacteroides thetaiotaomicron	Crohn's disease
Clostridium bolteae	Crohn's disease
Veillonella parvula	Crohn's disease
Klebsiella pneumoniae	Crohn's disease
Lactobacillus gasseri	Crohn's disease
Tyzzerella nexilis	Crohn's disease
Escherichia coli	Crohn's disease
Ruminococcus gnavus	Crohn's disease
Faecalibacterium prausnitzii	Inflammatory bowel disease
Bacteroides stercoris	Inflammatory bowel disease
Eubacterium rectale	Inflammatory bowel disease
Alistipes putredinis	Inflammatory bowel disease
Bacteroides coprocola	Inflammatory bowel disease
Eubacterium siraeum	Inflammatory bowel disease
Akkermansia muciniphila	Inflammatory bowel disease
Bacteroides massiliensis	Inflammatory bowel disease
Dialister invisus	Inflammatory bowel disease
Ruminococcus bromii	Inflammatory bowel disease
Coprococcus sp.	Inflammatory bowel disease
Alistipes finegoldii	Inflammatory bowel disease
Bacteroides dorei	Inflammatory bowel disease
Bacteroides eggerthii	Inflammatory bowel disease
Roseburia hominis	Inflammatory bowel disease
Roseburia inulinivorans	Inflammatory bowel disease
Ruminococcus champanellensis	Inflammatory bowel disease
Parabacteroides distasonis	Inflammatory bowel disease
Candidatus Alistipes marseilloanorexicus AP11	Inflammatory bowel disease
Alistipes obesi	Inflammatory bowel disease
Bacteroides caccae	Inflammatory bowel disease
Eubacterium eligens	Inflammatory bowel disease
Bacteroides fragilis	Inflammatory bowel disease
Alistipes shahii	Inflammatory bowel disease
Parabacteroides merdae	Inflammatory bowel disease
Alistipes onderdonkii	Inflammatory bowel disease
Bacteroides ovatus	Inflammatory bowel disease
Parabacteroides johnsonii	Inflammatory bowel disease
Barnesiella intestinihominis	Inflammatory bowel disease
Odoribacter splanchnicus	Inflammatory bowel disease
Collinsella aerofaciens	Inflammatory bowel disease
Bacteroides intestinalis	Inflammatory bowel disease
